Acreage,Temperature,Humidity,Wind
40.0,79.82881,29.8,2.9266655
40.0,68.33052,42.4,2.9734936
2422.0,69.46684,18.1,6.5431404
39.0,63.57597,73.1,7.6658278
36.0,80.49266,34.8,2.1791902
703.0,46.922676,16.5,4.158887
604.0,54.611732,84.5,5.0342803
600.0,77.16919,48.0,8.930089
525.0,58.80494,90.2,3.607457
33.0,74.92737,51.7,1.9894038
33.0,50.439068,61.1,6.5239677
423.0,85.80153,25.4,3.1621146
32.0,63.499123,40.4,8.538408
31.0,59.929058,21.9,5.6299133
300.0,59.33162,81.3,6.563935
280.0,54.517525,30.7,2.9384
279.0,86.6311,16.8,3.750372
250.0,90.957634,29.8,5.3828936
28.0,70.33531,37.7,1.1051728
220.0,66.471466,31.0,8.4782715
25.0,53.50222,56.3,3.9004416
25.0,74.70968,46.4,1.4634212
25.0,67.49649,26.3,6.4296374
25.0,73.958374,62.7,3.136856
21.0,70.4733,53.8,3.3361459
21.0,85.57488,22.2,10.65782
21.0,70.64705,34.3,4.934049
20.0,51.63504,63.6,9.0281925
20.0,71.48068,47.0,10.23174
156.0,84.1945,13.7,1.0607024
20.0,86.07674,30.9,3.195258
156.0,71.21762,57.8,0.62371194
150.0,51.68382,31.2,6.9578094
150.0,83.686554,46.5,3.827927
20.0,43.447807,84.2,3.221399
144.0,63.13163,58.1,2.967795
19.0,59.224617,64.0,3.192178
130.0,73.00268,21.7,6.91048
18.0,75.41588,36.2,3.9473855
128.0,62.60417,48.2,4.18945
120.0,61.094048,91.6,1.6067345
103.0,59.388145,50.0,2.0117917
96.0,69.38719,64.9,2.0799546
15.0,79.9155,50.7,3.7102528
83.0,61.349426,72.2,3.5368712
80.0,77.50372,62.5,2.8228161
80.0,86.841385,26.7,4.500842
80.0,76.413055,36.2,8.193018
